zone,time zero,+/- 8days,+/- 16days,+/- 24days,+/- 32days,+/- 40days,+/- 48days,+/- 56days
1,1,7,15,33,45,56,78,99
2,2,8,16,34,46,58,80,100
3,3,9,18,35,47,59,81,101
4,4,11,19,36,48,60,82,103
5,5,12,20,38,49,61,83,104
6,6,13,22,39,50,62,84,105
7,10,17,24,40,51,66,85,107
8,14,23,27,44,57,69,89,113
9,21,26,30,54,70,75,96,117
10,25,29,37,63,74,86,109,124
11,28,31,41,68,79,90,112,134
12,32,42,52,73,92,97,118,141
13,43,53,64,87,106,111,130,146
14,55,65,71,94,114,115,138,161
15,67,72,77,108,120,121,142,165
16,76,88,93,116,137,136,149,170
17,91,98,110,131,145,144,162,179
18,95,102,119,140,159,150,171,187
19,122,133,139,148,167,163,184,193
